"","Key","Topic"
"1","algorithms",1
"2","data structures",1
"3","sorting",1
"4","recursion",1
"5","big data",1
"6","array",1
"7","tree",1
"8","stack",1
"9","queue",1
"10","graph",1
"11","hash table",1
"12","linked list",1
"13","heap",1
"14","artificial intelligence",1
"15","computer architecture",1
"16","greedy algorithm",1
"17","hill climbing",1
"18","simulated annealing",1
"19","dynamic programming",1
"20","functional programming",1
"21","programming",1
"22","machine learning",1
"23","p vs np",1
"24","halting problem",1
"25","concurrency",1
"26","multithreading",1
"27","parallelism",1
"28","race condition",1
"29","mutual exclusion",1
"30","semaphore",1
"31","binary",1
"32","deadlock",1
"33","brute-force attack",1
"34","social engineering",1
"35","security exploit",1
"36","security",1
"37","trojan horse",1
"38","rootkit",1
"39","cryptography",1
"40","symmetric cryptography",1
"41","asymmetric cryptography",1
"42","public key",1
"43","private key",1
"44","agile development",1
"45","software development",1
"46","software engineering",1
"47","software",1
"48","cognitive",1
"49","human-robot",1
"50","robot",1
"51","processing",1
"52","architecture",1
"53","architectures",1
"54","primitive",1
"55","agile",1
"56","data",1
"57","structure",1
"58","structures",1
"59","engineering",1
"60","exploit",1
"61","secure",1
"62","program",1
"63","run",1
"64","execute",1
"65","java",1
"66","python",1
"67","alan turing",1
"68","turing",1
"69","assembly",1
"70","c",1
"71","c++",1
"72","c#",1
"73","javascript",1
"74","version control",1
"75","network",1
"76","systems",1
"77","branch",1
"78","natural language processing",1
"79","processor",1
"80","NLP",1
"81","review",2
"82","organic",2
"83","book",2
"84","synthesis",2
"85","catalyst",2
"86","reaction",2
"87","compd",2
"88","compounds",2
"89","reactions",2
"90","catalysis",2
"91","acid",2
"92","redn",2
"93","cleavage",2
"94","phase",2
"95","natural",2
"96","complex",2
"97","vol",2
"98","slide",2
"99","synthetic",2
"100","methods",2
"101","metal",2
"102","laboratory",2
"103","transfer",2
"104","substitution",2
"105","textbook",2
"106","reagent",2
"107","handbook",2
"108","prepn",2
"109","transition",2
"110","new",2
"111","work",2
"112","group",2
"113","structure",2
"114","addn",2
"115","acids",2
"116","selective",2
"117","enzyme",2
"118","reagents",2
"119","syntheses",2
"120","techniques",2
"121","agent",2
"122","exchange",2
"123","cassette",2
"124","system",2
"125","application",2
"126","chemistry",2
"127","chem",2
"128","ketone",2
"129","carbonyl",2
"130","hydrogenation",2
"131","ed",2
"132","ester",2
"133","aldehyde",2
"134","chloride",2
"135","beilstein",2
"136","olefin",2
"137","carbon",2
"138","oxide",2
"139","Pt",2
"140","As",2
"141","halide",2
"142","sulfur",2
"143","polymer",2
"144","esters",2
"145","fluorination",2
"146","thiol",2
"147","isomerization",2
"148","carboxylic",2
"149","alkene",2
"150","catalytic",2
"151","oxidative",2
"152","alkyl",2
"153","allylic",2
"154","asym",2
"155","carbonylation",2
"156","alumina",2
"157","amine",2
"158","oxidation",2
"159","ether",2
"160","ylide",2
"161","epoxidn",2
"162","homologation",2
"163","aldehydes",2
"164","ketones",2
"165","cyclization",2
"166","amino",2
"167","cyclic",2
"168","anion",2
"169","vanadium",2
"170","rhodium",2
"171","triphase",2
"172","catalyzed",2
"173","S",2
"174","hydrocarbon",2
"175","kinetics",2
"176","derivatives",2
"177","condensation",2
"178","salt",2
"179","purifn",2
"180","clompd",2
"181","crystal",2
"182","labeled",2
"183","presence",2
"184","ring",2
"185","phenyl",2
"186","alkylation",2
"187","benzene",2
"188","phenol",2
"189","N",2
"190","aryl",2
"191","arom",2
"192","substituted",2
"193","aromatic",2
"194","P",2
"195","herbicide",2
"196","xylene",2
"197","alpha",2
"198","aniline",2
"199","methyl",2
"200","O",2
"201","nitro",2
"202","benzyl",2
"203","beta",2
"204","hydroxy",2
"205","rearrangement",2
"206","toluene",2
"207","sulfide",2
"208","chloro",2
"209","preparation",2
"210","insecticide",2
"211","fungicide",2
"212","chlorination",2
"213","diphenyl",2
"214","anhydride",2
"215","oxime",2
"216","antiinflamatory",2
"217","styrene",2
"218","dimethyl",2
"219","phenoxy",2
"220","deriv",2
"221","cresol",2
"222","alloy",2
"223","corrosion",2
"224","coating",2
"225","welding",2
"226","iron",2
"227","steel",2
"228","property",2
"229","fatigue",2
"230","deformation",2
"231","properties",2
"232","metals",2
"233","heat",2
"234","casting",2
"235","stress",2
"236","composite",2
"237","surface",2
"238","powder",2
"239","high",2
"240","electron",2
"241","treatment",2
"242","strength",2
"243","resistance",2
"244","temperature",2
"245","fracture",2
"246","friction",2
"247","creep",2
"248","diffusion",2
"249","wear",2
"250","materials",2
"251","grain",2
"252","internal",2
"253","mold",2
"254","film",2
"255","brass",2
"256","thermal",2
"257","resistant",2
"258","hardening",2
"259","crack",2
"260","aging",2
"261","cast",2
"262","melting",2
"263","wire",2
"264","dislocation",2
"265","tool",2
"266","mechanical",2
"267","temp",2
"268","transformation",2
"269","growth",2
"270","pressure",2
"271","solidicaton",2
"272","formation",2
"273","molten",2
"274","rolling",2
"275","low",2
"276","melt",2
"277","metallurgy",2
"278","cutting",2
"279","aluminum",2
"280","nickel",2
"281","copper",2
"282","titanium",2
"283","alloys",2
"284","molybdenum",2
"285","tungsten",2
"286","cobalt",2
"287","chromium",2
"288","carbide",2
"289","niobium",2
"290","zinc",2
"291","silicon",2
"292","zirconium",2
"293","silver",2
"294","hydrogen",2
"295","magnesium",2
"296","lead",2
"297","eutectic",2
"298","gold",2
"299","oxidn",2
"300","superalloy",2
"301","elec",2
"302","tantalum",2
"303","manganese",2
"304","boron",2
"305","weld",2
"306","sintering",2
"307","plastic",2
"308","uranium",2
"309","bronze",2
"310","plasma",2
"311","proton",2
"312","neutron",2
"313","alloy",3
"314","antiferromagnetism",3
"315","compound",3
"316","crystal",3
"317","dislocation",3
"318","doping",3
"319","electricity",3
"320","electron",3
"321","exchange-interaction",3
"322","exciton",3
"323","fermion",3
"324","ferrimagnetism",3
"325","ferroelectricity",3
"326","helium",3
"327","impurity",3
"328","laser",3
"329","lattice",3
"330","magnetism",3
"331","metal",3
"332","nanostructured-material",3
"333","optics",3
"334","organic-compound",3
"335","paramagnetism",3
"336","phonon",3
"337","plasma physics",3
"338","plasmon",3
"339","quantum physics",3
"340","semiconductor",3
"341","superconductivity",3
"342","surface physics",3
"343","physics",3
"344","force",3
"345","propulsion",3
"346","thin film",3
"347","tunneling",3
"348","x-ray",3
"349","bose-einstein-condensation",3
"350","specific-heat",3
"351","conductivity, thermal",3
"352","band-structure",3
"353","quasiparticle",3
"354","particle",3
"355","argon",3
"356","flux-pinning",3
"357","cryogenics",3
"358","fermi-level",3
"359","fullerene",3
"360","fermi-surface",3
"361","boson-system",3
"362","fermi-liquid",3
"363","atmospheric science",3
"364","biomedical",3
"365","cellular biophysics",3
"366","circuit theory",3
"367","image proessing",3
"368","nonlinear dynamics",3
"369","numerical analysis",3
"370","pattern formation",3
"371","polymer",3
"372","surface science",3
"373","telecommunication",3
"374","acoustics",3
"375","astrophysical plasma",3
"376","cyclotron",3
"377","dielectric function",3
"378","dispersion",3
"379","doppler effect",3
"380","electromagnetism",3
"381","microwave",3
